,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,921,854,669,72.64%,617,304,0,104,399,509,13,0,124,617,560,405,65.64%,621,49,53,185,424,8,0,48,304,294,264,86.84%,51,214,85,5,0,76,0,0,0,.,0,0,0,0,0,0,268,268,268,100.00%,31,152,116,0,76,15,723,723,407,56.29%,30,86,637,0,208,36,473,288,288,68,23.61%,25,78,210,0,0,0
AK-501,1118,602,531,47.50%,821,297,0,121,403,678,37,12,74,821,398,351,42.75%,171,9,75,269,520,32,0,32,297,204,180,60.61%,46,134,158,5,12,42,0,0,0,.,0,0,0,0,0,0,115,110,110,95.65%,15,53,62,0,81,9,409,409,231,56.48%,24,55,354,0,160,0,149,86,35,0,0.00%,13,36,49,1,0,1
AL-500,563,478,478,84.90%,473,80,10,66,178,379,6,51,28,473,430,430,90.91%,0,0,54,144,325,4,39,4,80,38,38,47.50%,12,34,44,2,12,24,10,10,10,100.00%,0,0,10,0,0,0,164,164,164,100.00%,18,55,109,0,54,12,1376,1376,1376,100.00%,52,209,1167,0,615,0,50,0,0,0,.,0,0,0,0,0,0
AL-501,445,347,351,78.88%,246,199,0,72,250,195,0,56,0,246,180,180,73.17%,0,12,37,120,126,0,3,0,199,167,171,85.93%,35,130,69,0,53,0,0,0,0,.,0,0,0,0,0,0,120,112,120,100.00%,16,54,66,0,84,0,242,242,242,100.00%,7,23,219,0,60,0,0,10,10,10,100.00%,0,0,10,0,10,0
AL-502,211,111,77,36.49%,125,86,0,105,111,84,16,0,16,125,85,77,61.60%,0,0,45,51,74,0,0,0,86,26,0,0.00%,60,60,10,16,0,16,0,0,0,.,0,0,0,0,0,0,35,35,35,100.00%,35,35,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AL-503,407,397,148,36.36%,377,30,0,41,135,272,0,1,0,377,367,136,36.07%,0,0,33,106,271,0,1,0,30,30,12,40.00%,8,29,1,0,0,0,0,0,0,.,0,0,0,0,0,0,4,4,4,100.00%,2,4,0,0,4,0,153,153,38,24.84%,5,18,135,0,115,0,24,0,0,0,.,0,0,0,0,0,0
AL-504,228,170,170,74.56%,169,59,0,50,83,145,0,33,0,169,160,160,94.67%,0,0,32,40,129,0,33,0,59,10,10,16.95%,18,43,16,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,1,2,17,5,9,5,154,154,154,100.00%,0,0,154,0,0,0,46,0,0,0,.,0,0,0,0,0,0
AL-505,51,51,51,100.00%,50,1,0,0,0,51,0,0,0,50,50,50,100.00%,0,0,0,0,50,0,0,0,1,1,1,100.00%,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,17,17,17,100.00%,2,6,11,0,3,0,8,8,8,100.00%,0,0,8,0,0,0,0,6,6,6,100.00%,0,0,6,0,0,0
AL-506,73,73,73,100.00%,65,8,0,24,24,49,0,8,0,65,65,65,100.00%,0,4,24,24,41,0,0,0,8,8,8,100.00%,0,0,8,0,8,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,5,16,13,0,29,0,285,285,285,100.00%,15,15,270,0,265,0,128,0,0,0,.,0,0,0,0,0,0
