,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,2039,1456,1200,58.85%,1438,601,0,225,802,1187,50,12,198,1438,958,756,52.57%,792,58,128,454,944,40,0,80,601,498,444,73.88%,97,348,243,10,12,118,0,0,0,.,0,0,0,0,0,0,383,378,378,98.69%,46,205,178,0,157,24,1132,1132,638,56.36%,54,141,991,0,368,36,622,374,323,68,18.18%,38,114,259,1,0,1
AL,2205,1812,1381,62.63%,1701,494,10,392,836,1341,28,153,50,1701,1491,1131,66.49%,0,16,259,540,1151,10,80,10,494,311,240,48.58%,133,296,180,18,73,40,10,10,10,100.00%,0,0,10,0,0,0,402,394,402,100.00%,79,172,225,5,192,17,2218,2218,2103,94.82%,79,265,1953,0,1055,0,248,16,16,16,100.00%,0,0,16,0,10,0
AR,2036,1466,980,48.13%,1579,457,0,261,850,1172,14,74,64,1579,1098,758,48.01%,0,10,215,709,856,14,55,14,457,368,222,48.58%,46,141,316,0,19,50,0,0,0,.,0,0,0,0,0,0,308,304,304,98.70%,41,135,173,0,145,0,594,594,61,10.27%,134,181,413,0,533,0,405,8,8,8,100.00%,0,0,8,0,8,0
AZ,8884,8026,7654,86.15%,6967,1831,86,1183,3330,5469,85,513,400,6967,6331,6090,87.41%,50,62,891,2617,4271,79,54,169,1831,1609,1478,80.72%,292,713,1112,6,388,231,86,86,86,100.00%,0,0,86,0,71,0,2648,2539,2641,99.74%,590,1479,1169,0,1015,109,9360,9360,6745,72.06%,956,2142,7218,0,2791,98,2720,1270,1270,994,78.27%,118,354,916,0,40,0
CA,75938,72310,64451,84.87%,61387,14078,473,8906,25915,49672,351,3004,3620,61387,59401,53846,87.72%,1315,773,6815,20158,40914,315,668,1443,14078,12436,10132,71.97%,2091,5757,8285,36,2003,2177,473,473,473,100.00%,0,0,473,0,333,0,28039,26707,26714,95.27%,6510,17581,10397,61,3380,1093,78758,78757,64450,81.83%,7048,19331,59355,72,23594,995,23333,26059,25782,22584,86.66%,4686,11740,14309,10,659,1325
CO,11392,10870,9407,82.58%,8215,3114,63,2351,4707,6640,45,299,196,8215,7720,7508,91.39%,799,5179,1373,2666,5505,44,11,62,3114,3087,1836,58.96%,978,2041,1072,1,250,134,63,63,63,100.00%,0,0,63,0,38,0,2035,1855,1806,88.75%,739,1272,763,0,389,142,7257,7257,4726,65.12%,614,1570,5687,0,2660,250,2012,5267,5267,2886,54.79%,1517,1972,3295,0,110,160
CT,2491,2103,2048,82.22%,2041,422,28,333,1025,1456,10,238,142,2041,1731,1704,83.49%,131,642,272,861,1170,10,95,22,422,344,316,74.88%,61,164,258,0,115,120,28,28,28,100.00%,0,0,28,0,28,0,1470,860,860,58.50%,314,946,524,0,84,197,7643,7554,6211,81.26%,880,2398,5245,0,1449,78,1594,966,966,34,3.52%,175,527,439,0,0,0
DC,5218,4705,4446,85.21%,3505,1693,20,649,2078,3125,15,156,686,3505,3319,3178,90.67%,495,0,403,1445,2045,15,0,113,1693,1366,1248,73.72%,246,633,1060,0,136,573,20,20,20,100.00%,0,0,20,0,20,0,10156,10156,10021,98.67%,2806,8853,861,442,259,979,11856,11761,11701,98.69%,2084,4754,6982,120,1421,251,9599,5842,5842,5819,99.61%,1310,3930,1807,105,744,105
DE,1166,1093,850,72.90%,849,317,0,235,662,502,2,61,9,849,782,587,69.14%,147,135,175,464,383,2,15,2,317,311,263,82.97%,60,198,119,0,46,7,0,0,0,.,0,0,0,0,0,0,295,227,246,83.39%,73,249,46,0,25,0,728,728,728,100.00%,50,155,573,0,219,0,507,311,311,33,10.61%,83,255,56,0,0,0
