"","coc_num","geoCode","coc_name","County Name","CoC Name","CoC Category","Count Types","Overall Homeless","Overall Homeless - Under 18","Overall Homeless - Age 18 to 24","Overall Homeless - Age 25 to 34","Overall Homeless - Age 35 to 44","Overall Homeless - Age 45 to 54","Overall Homeless - Age 55 to 64","Overall Homeless - Over 64","Overall Homeless - Woman","Overall Homeless - Man","Overall Homeless - Transgender","Overall Homeless - Non Binary","Overall Homeless - More Than One Gender","Overall Homeless - Gender Questioning","Overall Homeless - Culturally Specific Identity","Overall Homeless - Different Identity","Overall Homeless - Non-Hispanic/Latina/e/o","Overall Homeless - Hispanic/Latina/e/o","Overall Homeless - Asian or Asian American","Overall Homeless - Black, African American, or African","Overall Homeless - Middle Eastern or North African","Overall Homeless - White","Overall Homeless - Native Hawaiian or Other Pacific Islander","Overall Homeless Veterans","Overall Chronically Homeless","Overall Homeless People in Families","Overall Homeless Individuals","Overall Homeless Unaccompanied Youth (Under 25)","Overall Homeless Parenting Youth (Under 25)","Sheltered Total Homeless","Sheltered ES Homeless","Sheltered TH Homeless","Sheltered SH Homeless","Unsheltered Homeless","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES)...6","Total Year-Round Beds (TH)...7","Total Year-Round Beds (SH)...8","Total Year-Round Beds (OPH)","Total Year-Round Beds (PSH)","Total Year-Round Beds (RRH)","state","GEOID","NAME","state.x","total_pop","ALAND","AWATER","percent_urban","percent_rural","percent_poc","poverty_rate","pop_density","med_hh_income","employment_access_index","housing_cost_burden","overcrowded_housing","vacancy_rate","incomplete_plumbing","incomplete_kitchen","housing_units","permits","capacity_housing","hud_pbs8","hud_hcv","hud_202","hud_ph","age_under_18","age_over_64","coc","cdbg_entitlement","elderly","grrp_comp","grrp_elements","grrp_leading","home","hcv","hud_disability","hud_esg","hud_hopwa","public_hsg","public_hsg_cap","s8_project","funding_tot"
"1","AK-501","29013","Alaska Balance of State CoC","Aleutians East Borough","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02013","Aleutians East Borough, Alaska","Alaska",3389,18091672533,20799851130,0,1,0.867217468,0.121929565,0.485169006,75833,53,0.330357143,0,0.175979983,0.060050042,0.042535446,0.353791679,0.000107522,0.003540868,0,0,0,0,0.130717026,0.112422544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AK-501","29016","Alaska Balance of State CoC","Aleutians West Census Area","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02016","Aleutians West Census Area, Alaska","Alaska",5708,11377885026,25183635754,0,1,0.768220042,0.076028788,1.299339442,87443,13,0.263546798,0.017611026,0.351217089,0.107302534,0.072031793,0.352662929,0.000662348,0.005255781,0,0,0,0,0.178170988,0.075332866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AK-500","20078","Anchorage CoC","Anchorage","Anchorage CoC","Other Largely Urban CoC","Sheltered and Unsheltered Count",1709,241,169,305,407,254,241,92,649,1047,6,1,2,1,0,3,1612,97,28,169,0,463,125,70,384,388,1321,141,8,1363,1107,256,0,346,921,617,304,0,288,723,268,"AK","02020","Anchorage Municipality, Alaska","Alaska",292090,4420814008,621079537,0.957307715,0.935919918,0.432616659,0.08848853,171.1340852,84813,22028,0.456706282,0.004907918,0.09571995,0.011784298,0.008360596,0.404988189,0.00266685,0.001547468,0.001595399,0.008428909,0.000612825,0.001660447,0.242760793,0.110845972,7236937,3767125,2175033,0,0,0,1552291,1.1e+08,596528,330308,924965,20591074,7004695,10722774,54901730
"4","AK-501","29050","Alaska Balance of State CoC","Bethel Census Area","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02050","Bethel Census Area, Alaska","Alaska",18263,1.05224e+11,12764675308,0.273063324,0.999630794,0.905875267,0.285946067,0.449529625,54400,393,0.320504313,0.059791065,0.253773428,0.378503898,0.266545032,0.33012101,0.000514141,0.003449598,0.001204621,0,0,0.006406395,0.356348902,0.073865192,0,0,0,0,0,0,0,466974,0,0,0,0,0,505837,505837
"5","AK-501","29060","Alaska Balance of State CoC","Bristol Bay Borough","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02060","Bristol Bay Borough, Alaska","Alaska",739,1248323906,949767539,0,1,0.52097429,0.050490884,1.533275387,79808,609,0.153061224,0,0.673938002,0.342135476,0.277841561,1.178619756,0.00225234,0.00541272,0,0,0,0,0.193504736,0.116373478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","AK-501",NA,"Alaska Balance of State CoC","Chugach Census Area","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02063","Chugach Census Area, Alaska","Alaska",6495,24682189588,14538907494,0,1,0.266512702,0.051764706,0.681547366,90776,461,0.425531915,0.001298701,0.297231518,0.105263158,0.08731366,0.506081601,NA,0.004311008,0,0,0,0,0.213548884,0.134257121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AK-501",NA,"Alaska Balance of State CoC","Copper River Census Area","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02066","Copper River Census Area, Alaska","Alaska",2894,63952335592,1217429937,0,1,0.431582585,0.093184979,0.117203968,64745,28,0.288888889,0,0.633700896,0.489317712,0.341488629,1.00276434,NA,0.00414651,0,0,0,0,0.278161714,0.123013131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","AK-501","29068","Alaska Balance of State CoC","Denali Borough","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02068","Denali Borough, Alaska","Alaska",2502,32740165582,66105677,0,1,0.190647482,0.141335518,0.197927725,76364,394,0.219047619,0.004132231,0.563701923,0.4296875,0.363581731,0.665067946,NA,0.001199041,0,0,0,0,0.103916867,0.104716227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","AK-501","29070","Alaska Balance of State CoC","Dillingham Census Area","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02070","Dillingham Census Area, Alaska","Alaska",4934,47484825241,5943879883,0,1,0.850830969,0.176494676,0.269119086,57436,1001,0.349127182,0.041258741,0.419171405,0.30341186,0.271324127,0.498986623,0.000502908,0.008309688,0,0,0,0,0.312525334,0.11289015,0,0,317739,0,0,0,0,0,0,0,0,0,0,0,317739
"10","AK-501","29090","Alaska Balance of State CoC","Fairbanks North Star Borough","Alaska Balance of State CoC","Largely Rural CoC","Sheltered and Unsheltered Count",977,202,59,190,217,136,127,46,445,523,3,4,2,0,0,0,920,57,11,31,6,304,4,36,267,279,698,56,2,844,635,209,0,133,1118,821,297,0,86,409,115,"AK","02090","Fairbanks North Star Borough, Alaska","Alaska",98455,18996838330,259573207,0.746390675,0.989869876,0.312467625,0.065458753,13.42305571,76464,4111,0.432841119,0.006989143,0.182313079,0.107115428,0.090738649,0.449647047,0.000297024,0.001157889,0.003717434,0.004164339,0.000192982,0.001675893,0.240800366,0.104291301,217579,0,300979,0,0,0,0,0,1085749,0,0,0,0,2487648,4091955
