CoC Name,GEOID,County Name,PPRN_23
AK-500 - Anchorage CoC,20078,Anchorage,1901913
AK-501 - Alaska Balance of State CoC,29013,Aleutians East Borough,6021
AK-501 - Alaska Balance of State CoC,29016,Aleutians West Census Area,7248
AK-501 - Alaska Balance of State CoC,29050,Bethel Census Area,4403
AK-501 - Alaska Balance of State CoC,29060,Bristol Bay Borough,1757
AK-501 - Alaska Balance of State CoC,29068,Denali Borough,4030
AK-501 - Alaska Balance of State CoC,29070,Dillingham Census Area,1682
AK-501 - Alaska Balance of State CoC,29090,Fairbanks North Star Borough,128562
AK-501 - Alaska Balance of State CoC,29100,Haines Borough,7436
AK-501 - Alaska Balance of State CoC,29105,Hoonah-Angoon Census Area,6218
AK-501 - Alaska Balance of State CoC,29110,Juneau City and Borough,70853
AK-501 - Alaska Balance of State CoC,29122,Kenai Peninsula Borough,87587
AK-501 - Alaska Balance of State CoC,29130,Ketchikan Gateway Borough,46397
AK-501 - Alaska Balance of State CoC,29150,Kodiak Island Borough,19298
AK-501 - Alaska Balance of State CoC,29158,Kusilvak Census Area,201
AK-501 - Alaska Balance of State CoC,29164,Lake and Peninsula Borough,2134
AK-501 - Alaska Balance of State CoC,29170,Matanuska-Susitna Borough,143727
AK-501 - Alaska Balance of State CoC,29180,Nome Census Area,5909
AK-501 - Alaska Balance of State CoC,29185,North Slope Borough,5703
AK-501 - Alaska Balance of State CoC,29188,Northwest Arctic Borough,331
AK-501 - Alaska Balance of State CoC,29195,Petersburg Borough,19473
AK-501 - Alaska Balance of State CoC,29198,"Prince of Wales-Hyder Census
Area",7257
AK-501 - Alaska Balance of State CoC,29220,Sitka City and Borough,15356
AK-501 - Alaska Balance of State CoC,29230,Skagway Municipality,5757
AK-501 - Alaska Balance of State CoC,29240,"Southeast Fairbanks Census
Area",8217
AK-501 - Alaska Balance of State CoC,29261,Valdez-Cordova Census Area,10924
AK-501 - Alaska Balance of State CoC,29275,Wrangell City and Borough,8308
AK-501 - Alaska Balance of State CoC,29282,Yakutat City and Borough,1249
AK-501 - Alaska Balance of State CoC,29290,Yukon-Koyukuk Census Area,5910
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",10216,Bessemer,233133
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",10228,Birmingham,5990664
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19073,Jefferson County,2484281
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19117,Shelby County,335582
"AL-500 - Birmingham/Jefferson, St. Clair, Shelby Counties CoC",19115,St. Clair County,203858
AL-501 - Mobile City & County/Baldwin County CoC,19003,Baldwin County,462127
AL-501 - Mobile City & County/Baldwin County CoC,11542,Mobile,2392386
AL-501 - Mobile City & County/Baldwin County CoC,19097,Mobile County,1651566
AL-502 - Florence/Northwest Alabama CoC,19033,Colbert County,204083
AL-502 - Florence/Northwest Alabama CoC,10810,Florence,128487
AL-502 - Florence/Northwest Alabama CoC,19059,Franklin County,108875
AL-502 - Florence/Northwest Alabama CoC,19077,Lauderdale County,122193
AL-502 - Florence/Northwest Alabama CoC,19079,Lawrence County,84447
AL-502 - Florence/Northwest Alabama CoC,19093,Marion County,91924
AL-502 - Florence/Northwest Alabama CoC,19133,Winston County,64433
AL-503 - Huntsville/North Alabama CoC,10594,Decatur,154013
AL-503 - Huntsville/North Alabama CoC,11218,Huntsville,511452
AL-503 - Huntsville/North Alabama CoC,19083,Limestone County,236190
AL-503 - Huntsville/North Alabama CoC,19089,Madison County,305776
AL-503 - Huntsville/North Alabama CoC,19103,Morgan County,162855
AL-504 - Montgomery City & County CoC,19001,Autauga County,147762
AL-504 - Montgomery City & County CoC,19011,Bullock County,42088
AL-504 - Montgomery City & County CoC,19051,Elmore County,169671
AL-504 - Montgomery City & County CoC,19085,Lowndes County,33327
AL-504 - Montgomery City & County CoC,11560,Montgomery,1695267
AL-504 - Montgomery City & County CoC,19101,Montgomery County,53542
AL-506 - Tuscaloosa City & County CoC,12268,Tuscaloosa,308406
AL-506 - Tuscaloosa City & County CoC,19125,Tuscaloosa County,276296
AL-507 - Alabama Balance of State CoC,10144,Auburn,258400
AL-507 - Alabama Balance of State CoC,19005,Barbour County,109791
AL-507 - Alabama Balance of State CoC,19007,Bibb County,73273
AL-507 - Alabama Balance of State CoC,19009,Blount County,155429
AL-507 - Alabama Balance of State CoC,19013,Butler County,81551
