coc_num,total_population,total_homeless,homeless_rate,fnd_per_person,pop_AIAN,pop_asian,pop_black,pop_multi,pop_NHPI,pop_white,pop_under_18,pop_18_to_24,pop_25_to_34,pop_35_to_44,pop_45_to_54,pop_55_to_64,pop_over_64,pop_female,pop_male,pop_hisp_latx,pop_non_hisp_latx,disadvantaged_county,persistent_poverty_county,percent_rural,percent_urban,percent_poc,poverty_rate,pop_density,med_hh_income,employment_access_index,housing_cost_burden,overcrowded_housing,vacancy_rate,housing_units,airports_primary,highway_miles,funding_tot,fnd_per_impov,fnd_per_hmls,pc1,pc2,pc3,pc4,pc5,pc6,pc7
AK-500,292090,1709,0.005850936355232976,187.96168989010238,0.0751153258401291,0.10129750496293863,0.05455662034590611,0.13499550122109713,0.03213413502049444,0.6019009126094346,0.2375003891804379,0.09658593622975829,0.16677679031649884,0.14224977427534602,0.11607955194088608,0.1164912183596304,0.12431633969744248,0.48932607785684384,0.5106739221431561,0.09324071415475198,0.906759285845248,0,0,0.935919918,0.957307715,0.432616659,0.08848853,6.60715423610737e-5,84813,22028,0.456706282,0.004907918,0.09571995,0.404988189,3.4236e-6,0.11013662376000001,54901730,2124.1362003652043,32125.06143943827,1.4612920228437238,0.8251087052160913,1.433724151192623,0.1512732976719196,-0.534927856745304,1.024940799377477,0.7918514335098547
AK-501,444900,977,0.0021959991009215555,26.495118004045853,0.18318176314845655,0.04278231231910378,0.017119321257975426,0.11877756989704193,0.005434596380133912,0.6327044369972884,0.24680491434068627,0.089210657627972,0.14840571631505364,0.13575349178021226,0.11398690048594971,0.12675375700716113,0.13908456244296497,0.4657272837613677,0.5342727162386324,0.057360946905161136,0.9426390530948389,0.4827586206896552,0.10344827586206896,0.9996222144164154,0.08120767315852569,0.3835648461494583,0.1128755202195055,3.017247245184244e-7,73053.06485052822,1886.1597280287706,0.4318245931732209,0.010475895333907507,0.2592701808336098,0.4497122949838435,1.258709923558103e-4,0.0071359153379013905,11787678,234.72864579070486,416.04058871280836,1.34914517758037,-0.3392617468352006,1.1511569476274075,0.03371855897910668,-2.564605281370013,2.3711456831885496,0.8137299141649761
AL-500,1278404,911,7.126072822049994e-4,229.13630824058748,0.00322494037875728,0.015067305670966325,0.28845894932765187,0.04241158773987266,7.834022648592514e-4,0.6500538146178926,0.2271114238267358,0.08826976979927587,0.1322733498657475,0.1282989860816877,0.12508488876604848,0.12805551706158924,0.1709060645989154,0.5183593250548763,0.48164067494512375,0.05909865931257517,0.9409013406874248,0.5714285714285714,0,0.8654224905494651,0.5124034519150751,0.36406331625002264,0.14137295292780452,9.871599808083481e-5,57401.72127121004,13174.833730964547,0.45577834909945136,3.9630405828374387e-4,0.14673878591005401,0.45641205772304916,7.822265098513459e-7,0.2750560886824602,292928773,1620.7931113782522,45935.20040771522,-0.7252473468988985,-0.28899915142409727,0.5747437646079615,-0.8986670771946662,0.20408158608867688,-0.2435455983330832,0.3958857704453922
AL-501,632266,675,0.0010675886414894997,145.71269528964075,0.004041633336549625,0.01692443686368008,0.2615218453627821,0.04690909204092368,4.10855294897613e-4,0.6701921371011669,0.22630901215267943,0.08125314841212848,0.12759471265810962,0.123051812337029,0.12068313461653297,0.13517540004930279,0.1859327797742177,0.5175568474997205,0.4824431525002794,0.041602677662312605,0.9583973223376874,0.5,0,0.8730728129968286,0.6903744562770295,0.3437493081523757,0.14865775756129065,8.659055975317264e-5,53813.21170045519,8585.039451749739,0.5095031533130043,0.0013465825677261378,0.19751019672055703,0.4761730035647939,1.5816107483717296e-6,0.22831089688708608,92129183,980.1889768824498,68243.83925925926,-0.9255922717693188,-0.8773005130855848,-0.043256735596569146,-0.35274199267779116,0.4792326504929134,0.1429774151749721,0.19482197308549765
AL-502,265913,210,7.89731980008499e-4,203.58997491660807,0.008818046943356032,0.004344352721877734,0.09211397268611861,0.048613383041046905,1.9781641115380227e-4,0.845912428196447,0.21094165632204293,0.09354495477921618,0.11805801856121062,0.11398667021339481,0.1257278181710705,0.13890243541999173,0.19883844653307323,0.5132041733167819,0.4867958266832181,0.05191523319737542,0.9480847668026245,0.6666666666666666,0,0.9843749141251034,0.22071521001194638,0.17375231738895802,0.15665438554266997,2.60519704610312e-5,45809.88463520024,3671.394625309782,0.40933789811908783,4.872761316258768e-4,0.1894077063700696,0.4883852992875001,3.760619345425007e-6,0.17146790649370586,54137221,1299.6123550026862,42966.048412698416,-2.145620636094015,-0.4196679147460125,0.27972124972438106,-1.3080686289800774,-0.7996838919908327,-0.21546222448951594,-0.03993075450375405
AL-503,583959,621,0.0010634308230543584,107.53318811765895,0.006878513339874969,0.021056773449885467,0.20629172537539572,0.06415156566588352,6.6940196281717e-4,0.7009520202061431,0.22148160406330455,0.08913460651057993,0.13539734013945331,0.13020523379595006,0.1255382255503187,0.13902210822112676,0.15922088171926665,0.5060577226018134,0.49394227739818664,0.07376673551286173,0.9262332644871383,0,0,0.8440848058301662,0.6671366188926876,0.31482004724414214,0.12345009020831942,1.1594121690263596e-4,63598.629438025615,10116.588066970455,0.42632743795878303,0.001394312151603145,0.08663003830373323,0.4326091383256153,1.7124477764021105e-6,0.20004469609720849,62794973,871.0660959113028,33706.37305421363,-0.4633117179871644,0.2866550743984388,1.0038330076371629,-0.7703355059563677,-0.33589566273970095,0.09720790912207944,0.34408825661216846
AL-504,383725,340,8.860512085477881e-4,272.26791582513516,0.0015878788499659375,0.022225181709684523,0.4581568312084782,0.042711379969164416,4.609970854739818e-5,0.47527262855415947,0.23321342925659472,0.08971303969482641,0.13762913719657185,0.127002195711785,0.1230989891630999,0.12870210160985135,0.16064110736727075,0.5214764896943205,0.4785235103056795,0.041751408999382775,0.9582485910006172,0.4,0.4,0.9551887451251586,0.3652158216230238,0.5295328683675915,0.16889760797635286,4.439527322567429e-5,54082.65418463744,9233.317292331749,0.502759032508695,8.777698625533996e-4,0.14125620142560394,0.45067170539805584,2.606035109700958e-6,0.21193385411800497,104476006,1612.0294365758873,61456.474117647056,-0.11213348748300625,-1.288971159148259,0.2818315662102519,-0.8310212165129401,0.9171912148627046,0.017714364439499024,0.8166367170878778
AL-506,208854,86,4.117709021613184e-4,195.26501766784452,0.0022017839651181943,0.01669108277494127,0.32409133069234836,0.03936338970709338,1.9503991816991877e-4,0.6174573729423288,0.2068869746534721,0.18091233827274436,0.1378847698644653,0.12061819549129194,0.1086713155241074,0.1075731938676101,0.13745321232630878,0.5169290194670906,0.4830709805329095,0.05380796116836726,0.9461920388316327,0,0,0.933255464,0.6890977639999999,0.389516121,0.172146282,6.105092619568428e-5,54283,10544,0.507376396,6.82612e-4,0.185414145,0.439153667,0,0.195247370754,40781880,1134.2970373757157,474207.9069767442,-0.3856008725752776,-1.0029817674826895,0.08768627170856833,-0.8226288510066567,1.1540912754228594,0.5581990704608494,0.692806553146019
AL-507,1540065,1291,8.3827630651953e-4,153.37612503368365,0.005292794477129262,0.010007471950920532,0.24702308761301406,0.04305703589202673,5.072342661458194e-4,0.6941123758007636,0.22129115819697717,0.09603925065765662,0.12225359341277345,0.1183756376284912,0.12244956582853882,0.13447282462639168,0.18511796964917107,0.5117637708922873,0.4882362291077127,0.04964421750512433,0.9503557824948756,0.8604651162790697,0.4186046511627907,0.9857375602387378,0.20042720638790107,0.3270550268845049,0.1908892024084282,1.8416350689050347e-5,45035.54573280998,3257.7794716456774,0.4648789201449283,0.0025377081227161273,0.20156111239069982,0.4796576769165529,6.493246464921936e-7,0.17896482030210847,236209202,803.4824552596681,4255.024985138616,-1.0993487689617638,-1.5961136718595352,-0.11973837789326844,-1.1240801219315661,-0.37094694694974606,0.46264396924606255,0.2667431704876021
AR-500,595369,1016,0.0017065047054851696,113.8812182024929,0.0030039759003446685,0.018295247917062447,0.27574666865687847,0.06343630417673081,4.91898933427416e-4,0.6390259044155562,0.23562745440121663,0.08325131422589872,0.13838955071085055,0.13328406700659334,0.12026360227919852,0.1240309949932684,0.16515301638297383,0.516901422359451,0.4830985776405489,0.07496601281802291,0.925033987181977,0.25,0,0.90453370807919,0.5172712783052055,0.3733634100221308,0.13734421689898868,7.924344541755492e-5,56405.076760798765,13786.563917503263,0.4347597064384625,0.0013329315261101822,0.11592957885858497,0.4516459538672404,1.6796277494461417e-6,0.24733345421185368,67801347,829.1664605452453,16683.402312992126,-0.4087168396204075,-0.30797052076386666,0.8819332252152648,-1.0690711452147947,-0.302573102175117,-0.1862203653243826,0.3914035826246045
