"coc_number","coc_name","Organization","total_spending_coc"
"NY-600","New York City CoC","hcv",4.428e+11
"CA-600","Los Angeles City & County CoC","hcv",263868190755.735
"NY-503","Albany City & County CoC","hcv",1.35e+11
"MA-500","Boston CoC","hcv",134619311232.365
"CA-502","Oakland, Berkeley/Alameda County CoC","hcv",1.14e+11
"IL-510","Chicago CoC","hcv",101763305698.483
"CA-601","San Diego City and County CoC","hcv",1.01e+11
"CA-500","San Jose/Santa Clara City & County CoC","hcv",9.65e+10
"WA-500","Seattle/King County CoC","hcv",93837680694.8286
"IL-511","Cook County CoC","hcv",93456296627.5826
"TX-607","Texas Balance of State CoC","hcv",84479110527.5025
"FL-600","Miami-Dade County CoC","hcv",8.38e+10
"TX-600","Dallas City & County, Irving CoC","hcv",81316368313.7957
"CA-501","San Francisco CoC","hcv",7.99e+10
"CA-602","Santa Ana, Anaheim/Orange County CoC","hcv",7.76e+10
"MD-501","Baltimore CoC","hcv",6.6e+10
"CO-503","Metropolitan Denver CoC","hcv",64632622639.6288
"NJ-514","Trenton/Mercer County CoC","hcv",6.33e+10
"DC-500","District of Columbia CoC","hcv",5.8e+10
"PA-500","Philadelphia CoC","hcv",5.8e+10
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","hcv",53421399595.1384
"MA-516","Massachusetts Balance of State CoC","hcv",52993921713.9929
"MI-508","Lansing, East Lansing/Ingham County CoC","hcv",52100813528.9119
"LA-503","New Orleans/Jefferson Parish CoC","hcv",5e+10
"OH-507","Ohio Balance of State CoC","hcv",45704756503.5331
"CA-505","Richmond/Contra Costa County CoC","hcv",4.4e+10
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","hcv",38124425080.2177
"GA-508","DeKalb County CoC","hcv",36960237711.7344
"IN-502","Indiana Balance of State CoC","hcv",36487532800
"GA-502","Fulton County CoC","hcv",36355269437.1557
"AZ-502","Phoenix, Mesa/Maricopa County CoC","hcv",36119448173.0926
"FL-601","Ft Lauderdale/Broward County CoC","hcv",3.55e+10
"MN-500","Minneapolis/Hennepin County CoC","hcv",3.51e+10
"NY-600","New York City CoC","cdbg_entitlement",33540648000
"CA-503","Sacramento City & County CoC","hcv",3.24e+10
"CA-600","Los Angeles City & County CoC","coc",32362927925.4421
"TX-500","San Antonio/Bexar County CoC","hcv",32020387044.5215
"NV-500","Las Vegas/Clark County CoC","hcv",3.12e+10
"OR-501","Portland, Gresham/Multnomah County CoC","hcv",3.05e+10
"NC-503","North Carolina Balance of State CoC","hcv",29715908800
"NY-600","New York City CoC","coc",29000486500
"CA-609","San Bernardino City & County CoC","hcv",2.88e+10
"GA-500","Atlanta CoC","hcv",28424487552.2968
"TX-601","Fort Worth, Arlington/Tarrant County CoC","hcv",26944815257.5957
"OH-503","Columbus/Franklin County CoC","hcv",26670445438.7039
"FL-501","Tampa/Hillsborough County CoC","hcv",2.65e+10
"OH-502","Cleveland/Cuyahoga County CoC","hcv",2.64e+10
"HI-501","Honolulu City and County CoC","hcv",2.63e+10
"MD-601","Montgomery County CoC","hcv",2.62e+10
"OR-505","Oregon Balance of State CoC","hcv",26058783100
"VA-500","Richmond/Henrico, Chesterfield, Hanover Counties CoC","hcv",2.55e+10
"CA-512","Daly City/San Mateo County CoC","hcv",2.5e+10
"NJ-504","Newark/Essex County CoC","hcv",2.48e+10
"KY-500","Kentucky Balance of State CoC","hcv",24759557400
"WA-501","Washington Balance of State CoC","hcv",24744272427.0801
"ME-500","Maine Balance of State CoC","hcv",24509338300
"WA-504","Everett/Snohomish County CoC","hcv",2.43e+10
"CA-514","Fresno City & County/Madera County CoC","hcv",24210140900
"PA-509","Eastern Pennsylvania CoC","hcv",24120806500
"MD-600","Prince George's County CoC","hcv",2.37e+10
"CA-508","Watsonville/Santa Cruz City & County CoC","hcv",2.33e+10
"TN-504","Nashville-Davidson County CoC","hcv",2.3e+10
"NY-604","Yonkers, Mount Vernon/Westchester County CoC","hcv",2.29e+10
"CA-603","Santa Maria/Santa Barbara County CoC","hcv",2.28e+10
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","hcv",2.28e+10
"FL-605","West Palm Beach/Palm Beach County CoC","hcv",2.26e+10
"KY-501","Louisville-Jefferson County CoC","hcv",2.22e+10
"RI-500","Rhode Island Statewide CoC","hcv",21621554200
"IN-503","Indianapolis CoC","hcv",2.09e+10
"NY-600","New York City CoC","elderly",20852490700
"NJ-506","Jersey City, Bayonne/Hudson County CoC","hcv",2.08e+10
"CA-600","Los Angeles City & County CoC","cdbg_entitlement",20226829953.4013
"CA-608","Riverside City & County CoC","hcv",2.01e+10
"NY-603","Nassau, Suffolk Counties CoC","hcv",19602365900
"CA-611","Oxnard, San Buenaventura/Ventura County CoC","hcv",1.96e+10
"WA-503","Tacoma, Lakewood/Pierce County CoC","hcv",19562319305.1714
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","hcv",19319914272.069
"OH-500","Cincinnati/Hamilton County CoC","hcv",19124085400.4177
"NC-505","Charlotte/Mecklenburg County CoC","hcv",1.87e+10
"NJ-501","Bergen County CoC","hcv",1.87e+10
"TX-503","Austin/Travis County CoC","hcv",18425799894.7305
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","hcv",1.83e+10
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","hcv",17555453784.4635
"IA-501","Iowa Balance of State CoC","hcv",17372430700
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","hcv",17020761228.1345
"VA-601","Fairfax County CoC","hcv",1.65e+10
"NY-600","New York City CoC","home",16181298500
"WI-500","Wisconsin Balance of State CoC","hcv",16010974800
"MD-505","Baltimore County CoC","hcv",1.57e+10
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","hcv",15461886700
"MS-503","Gulf Port/Gulf Coast Regional CoC","hcv",15274229600
"FL-510","Jacksonville-Duval, Clay Counties CoC","hcv",15221970600
"NY-500","Rochester, Irondequoit, Greece/Monroe County CoC","hcv",1.5e+10
"SC-502","Columbia/Midlands CoC","hcv",14917089900
"CA-506","Salinas/Monterey, San Benito Counties CoC","hcv",1.48e+10
"MO-606","Missouri Balance of State CoC","hcv",14797962327.931
"VA-501","Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC","hcv",14774531900
"LA-509","Louisiana Balance of State CoC","hcv",14493868600
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","hcv",1.41e+10
"UT-500","Salt Lake City & County CoC","hcv",14033798315.0782
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","hcv",13996080800
"OK-502","Oklahoma City CoC","hcv",13764336617.2185
"MA-506","Worcester City & County CoC","hcv",1.36e+10
"NJ-507","New Brunswick/Middlesex County CoC","hcv",1.36e+10
"NJ-511","Paterson/Passaic County CoC","hcv",1.36e+10
"CA-606","Long Beach CoC","hcv",13564072443.9466
"CO-500","Colorado Balance of State CoC","hcv",13399068800
"MA-511","Quincy, Brockton, Weymouth, Plymouth City and County CoC","hcv",13397398249.4623
"HI-500","Hawaii Balance of State CoC","hcv",13237128200
"TN-501","Memphis/Shelby County CoC","hcv",1.32e+10
"MS-501","Mississippi Balance of State CoC","hcv",12901448500
