"","state","GEOID","coc","cdbg_entitlement","elderly","grrp_comp","grrp_elements","grrp_leading","home","hcv","hud_disability","hud_esg","hud_hopwa","hud_htf","public_hsg","public_hsg_cap","s8_project","NAME","total_pop","ALAND","AWATER","percent_urban","percent_rural","percent_poc","poverty_rate","pop_density","med_hh_income","employment_access_index","housing_cost_burden","overcrowded_housing","vacancy_rate","incomplete_plumbing","incomplete_kitchen","housing_units","permits","capacity_housing","hud_pbs8","hud_hcv","hud_202","hud_ph","age_under_18","age_over_64","Total Year-Round Beds (ES, TH, SH)","Total Year-Round Beds (ES)...6","Total Year-Round Beds (TH)...7","Total Year-Round Beds (SH)...8","Total Year-Round Beds (OPH)","Total Year-Round Beds (PSH)","Total Year-Round Beds (RRH)","Number of CoCs","Overall Homeless","Overall Homeless - Under 18","Overall Homeless - Age 18 to 24","Overall Homeless - Age 25 to 34","Overall Homeless - Age 35 to 44","Overall Homeless - Age 45 to 54","Overall Homeless - Age 55 to 64","Overall Homeless - Over 64","Overall Homeless - Woman","Overall Homeless - Man","Overall Homeless - Transgender","Overall Homeless - Non Binary","Overall Homeless - More Than One Gender","Overall Homeless - Gender Questioning","Overall Homeless - Culturally Specific Identity","Overall Homeless - Different Identity","Overall Homeless - Non-Hispanic/Latina/e/o","Overall Homeless - Hispanic/Latina/e/o","Overall Homeless - Asian or Asian American","Overall Homeless - Black, African American, or African","Overall Homeless - Middle Eastern or North African","Overall Homeless - White","Overall Homeless - Native Hawaiian or Other Pacific Islander","Overall Homeless Veterans","Overall Chronically Homeless","Overall Homeless People in Families","Overall Homeless Individuals","Overall Homeless Unaccompanied Youth (Under 25)","Overall Homeless Parenting Youth (Under 25)","Sheltered Total Homeless","Sheltered ES Homeless","Sheltered TH Homeless","Sheltered SH Homeless","Unsheltered Homeless","funding_tot"
"1","AK",2,9916763,9163089,3663454,0,0,0,7552330,1.12e+08,3434068,845811,924965,6048846,20591074,7004695,17515595,"Alaska",736990,1.47894e+12,2.45378e+11,0.648994874,0.999431807,0.403005468,0.103369959,1.290657211,77790,10395,0.44193237,0.008002414,0.198501743,0.104708358,0.086226717,0.431986865,0.001793234,0.003834516,0.00159975,0.006061141,0.000331076,0.001647241,0.248794421,0.118901206,2039,1438,601,0,374,1132,383,2,2686,443,228,495,624,390,368,138,1094,1570,9,5,4,1,0,3,2532,154,39,200,6,767,129,106,651,667,2019,197,10,2207,1742,465,0,479,86660690
"2","AL",1,34065588,87998436,15512487,0,0,5280000,38443648,5.32e+08,4643293,7683038,23246751,10919930,2.74e+08,2.03e+08,2.81e+08,"Alabama",4893186,1.31175e+11,4591897964,0.577372395,0.958665498,0.347634241,0.159828938,96.61383577,52035,8260,0.472532368,0.001369867,0.168205751,0.043617903,0.047260436,0.463991763,0.002946525,0.001707476,0.004170085,0.006676836,0.000414658,0.006243376,0.223353864,0.169099233,2205,1701,494,10,16,2218,402,9,4601,761,276,784,847,857,737,339,1881,2684,20,3,8,4,1,0,4345,256,17,2389,2,1904,13,291,831,1171,3430,182,23,1903,1408,435,60,2698,985793171
"3","AR",5,7607180,52782116,10704911,2960000,0,0,26492490,2.67e+08,7129315,4595625,8340003,7574475,62079918,64035560,1.05e+08,"Arkansas",3011873,1.34661e+11,3121950081,0.55476131,0.979077465,0.284465514,0.160826519,57.92892917,49475,6961,0.434541217,0.002792719,0.151643235,0.044586883,0.046963352,0.458112942,0.003092134,0.001907119,0.003731897,0.007197183,0.000499357,0.003411498,0.233353797,0.169368695,2036,1579,457,0,8,594,308,5,2783,328,225,513,603,483,437,194,1114,1650,8,6,0,4,1,0,2690,93,29,426,0,1139,16,226,1094,748,2035,125,16,1449,1114,335,0,1334,359301593
"4","AZ",4,1.02e+08,1.11e+08,16495267,0,0,0,51935636,5.41e+08,4263195,9727126,16579886,17709485,39908204,22805437,1.31e+08,"Arizona",7174064,2.94364e+11,855871553,0.8928516,0.980963039,0.458644082,0.141241714,63.12264495,61529,26285,0.475162653,0.003618783,0.130620816,0.015993909,0.01906173,0.423831597,0.004602285,0.001189981,0.001243786,0.002832843,0.000262613,0.000584745,0.228551766,0.175939886,8884,6967,1831,86,1270,9360,2648,3,14737,1904,1017,2789,3170,2513,2299,1045,5284,9325,49,31,28,3,9,8,10683,4054,79,3136,38,7857,105,994,3840,3097,11640,821,49,7446,5796,1580,70,7291,523424236
"5","CA",6,1e+09,7.6e+08,2.01e+08,5120000,331635,0,3.97e+08,1.12e+10,36795230,67230299,1.47e+08,1.94e+08,2.25e+08,2.05e+08,3.82e+09,"California",39346023,4.03672e+11,20293573058,0.942366327,0.950090451,0.634902236,0.125769599,252.4487813,78672,52975,0.541769141,0.008223999,0.077956181,0.008603791,0.02245192,0.361178689,0.002237687,0.001734279,0.002604812,0.00771524,0.000338408,0.000609439,0.227637772,0.143457879,75938,61387,14078,473,26059,78758,28039,44,187084,15302,10857,33533,42749,38170,33026,13447,62975,119727,798,703,2098,211,152,420,118055,69029,3706,41447,552,68057,1750,9310,70416,25639,161445,9052,850,63110,52415,10259,436,123974,7058477164
"6","CO",8,71011978,74169533,10752873,0,0,0,39827495,8.3e+08,2661256,6438066,8341260,16505010,63818648,41392861,4.73e+08,"Colorado",5684926,2.68419e+11,1185716938,0.860267066,0.984786212,0.324978021,0.097816196,54.85448848,75231,29579,0.511913803,0.001435387,0.094847402,0.009643546,0.014245532,0.415374272,0.005572676,0.001958513,0.002954128,0.005417133,0.000257523,0.001097464,0.221468318,0.142189538,11392,8215,3114,63,5267,7257,2035,4,18715,4781,1264,3577,3804,2793,1890,606,7343,11065,43,136,87,8,9,24,14363,4352,103,4121,8,8967,219,978,4639,8519,10196,591,143,13924,11620,2263,41,4791,807918980
"7","CT",9,1.37e+08,79957535,28678841,0,743283,0,36471458,8.3e+08,4142279,7037422,4351032,14230700,1.42e+08,82609763,4.45e+08,"Connecticut",3570549,12541690473,1816424193,0.862507294,0.654450692,0.3396136,0.097825889,737.3593393,79855,23160,0.513871985,0.001354085,0.089246706,0.011843947,0.015090728,0.426040645,0.001389462,0.001459719,0.006562016,0.010925771,0.000529891,0.003563878,0.206014257,0.172372932,2491,2041,422,28,966,7643,1470,2,3410,677,263,485,616,576,581,212,1394,2000,10,1,4,1,0,0,2290,1120,20,1188,6,1585,13,174,84,1108,2302,174,34,2836,2467,349,20,574,982222313
"8","DC",11,46522434,30671664,4576463,0,1500000,7860000,12205669,5.8e+08,2303529,2654770,47460223,6048846,1.29e+08,48797936,2.85e+08,"District of Columbia",701974,158316124,18709762,1,0,0.632761327,0.154525033,11484.07649,90842,189361,0.455247071,0.002948246,0.096759944,0.011864332,0.014201484,0.4547063,NA,0.004451732,0.013962056,0.016953619,0.000586916,0.010510361,0.179562206,0.122386299,5218,3505,1693,20,5842,11856,10156,1,5616,1044,583,1018,947,708,870,446,2167,3350,38,27,24,3,1,6,5005,611,54,4633,8,634,21,213,1416,1656,3960,420,139,4716,3308,1404,4,900,624601534
"9","DE",10,17995984,15226944,5102957,0,0,0,9669102,1.06e+08,3331185,1311222,4116618,6048846,26060842,14528762,1.2e+08,"Delaware",967679,5046731559,1399179670,0.82612117,0.779504449,0.384882797,0.114357684,496.6166889,69110,18865,0.49199406,0.000838381,0.153921421,0.009203126,0.012124861,0.453082065,0.005626877,0.001599704,0.004858016,0.004575898,0.000436095,0.002144306,0.211027624,0.1881037,1166,849,317,0,311,728,295,1,1358,353,75,184,239,201,217,89,589,767,1,0,1,0,0,0,1258,100,6,818,3,409,2,89,238,555,803,29,27,1120,888,232,0,238,223392462
"10","FL",12,2.09e+08,3.06e+08,88264094,0,0,0,1.54e+08,2.76e+09,20331453,26710331,1.18e+08,56135743,2.9e+08,1.63e+08,7.91e+08,"Florida",21216924,1.38962e+11,45972570361,0.915341946,0.851790676,0.465934742,0.133355228,395.4554368,57703,22674,0.563459751,0.002052624,0.170566381,0.008886647,0.013468901,0.45069323,0.004981906,0.001461333,0.002020415,0.00487064,0.000347317,0.001155116,0.198635957,0.204926595,17974,12690,5142,142,4577,17304,7514,27,31362,4911,1574,4691,5671,5568,6050,2897,11491,19650,73,48,70,11,13,6,26692,4670,126,12321,36,14355,79,2333,6860,7563,23799,1367,198,14494,10229,4155,110,16868,2222441621
