,state,GEOID,year,total_state_pop,acp_outreach,ag_acep,ag_csp,ag_eqip,ag_rcpp,ag_reap,ag_reconnect,ag_urban_forest,airport_infrastructure_comp,airport_infrastructure_formula,airport_terminal,asap,bric,bridge,brownfield,buses,capital_investment,carbon_capture_dem,cdbg_entitlement,charge_fuel_infra,clean_hydrogen,clean_school_bus,climate_coasts,coc,crisi,culvert_restore,cwsrf_emerging_combined,cwsrf_general_combined,dac_hubs,dhs_flood,doe_battery,doe_bead_initial,doe_carbon_storage,doe_grid_innovation,doe_grid_resilience,doe_hydrogen_electro,doe_nuclear,doe_rural_energy,doe_weatherization,doi_aging_infra,doi_drought,doi_rural_water,doi_water_recycle,doi_water_storage,dot_tc,dwsrf_emerging_combined,dwsrf_general_combined,dwsrf_lead_combined,elderly,epa_great_lakes,ferry_rural_comms,fhwa_app,fhwa_bridge,fhwa_carbon,fhwa_cmaq,fhwa_ev,fhwa_highway_freight,fhwa_metro_plan,fhwa_nhpp,fhwa_protect,fhwa_protect_comp,fhwa_railway,fhwa_safety,fhwa_spr,fhwa_stp,fhwa_tap,fmcsa_21,fra_intercity_rail,fra_rail_cross,fs_wildfire,fta_5305_combined,fta_5307_5340,fta_5310,fta_5311_combined,fta_5329_e,fta_5337_combined,fta_5339,fta_rail_vehicle,grrp_comp,grrp_elements,grrp_leading,hcv,home,hud_disability,hud_esg,hud_hopwa,hud_htf,indian_health,indian_water,infra,land_port,low_no_emission,mega,motor_carrier_safety,national_lab,natural_gas,nhtsa,ntia_middle_mile,ports,public_hsg,public_hsg_cap,raise,reconnect_community,rural_surface,s8_project,safe_streets,smart_grid,tribal_broadband,ttp,usace
1,AK,2,2022-2023,736990,1811635,0,0,1857813,0,0,4.71E+08,5105244,0,1.26E+08,6832000,0,19903888,1288000,12000000,6873350,0,0,9163089,1403838,0,395000,11819000,9916763,0,44087431,2404000,28472480,0,0,0,1.00E+08,8880349,2.07E+09,0,0,0,1.25E+08,4441110,0,0,0,0,0,5336250,22750000,52801080,70891500,3663454,0,4.17E+08,0,90000000,31781987,60568672,18922435,35126432,6042283,7.33E+08,36138396,50748893,2450000,80628542,25308520,3.09E+08,22303273,3148642,8200558,0,3976375,1551480,45592837,1356051,12191905,0,72706179,9291643,0,0,0,0,1.12E+08,7552330,3434068,845811,924965,6048846,4.16E+08,0,17148610,1.70E+08,6780164,0,0,0,0,12468215,88896494,1.12E+08,20591074,7004695,71229155,3789425,10000000,17515595,3909898,0,3.74E+08,1.01E+08,5.52E+08
2,AL,1,2022-2023,4893186,500000,0,5408620,2989040,12500000,57657,78465175,9571064,0,29632775,13260000,0,0,5.50E+08,2179495,0,0,0,87998436,0,0,26462558,26672000,34065588,1.24E+08,0,4492000,53195490,0,0,0,1.00E+08,41763543,0,0,0,0,6334444,6545098,0,0,0,0,0,3786968,46062000,1.04E+08,1.20E+08,15512487,0,0,1.48E+08,90000000,49817967,25108493,28631068,53148935,8193478,1.15E+09,56646598,0,10298604,1.20E+08,38106828,4.89E+08,58044537,14987675,0,53508222,0,3088604,67333208,13172104,36850149,0,0,13366871,0,0,0,5280000,5.32E+08,38443648,4643293,7683038,23246751,10919930,0,0,0,0,29667551,0,4934409,0,22684294,22658929,29037609,0,2.74E+08,2.03E+08,50461254,98114487,0,2.81E+08,3555840,0,0,2292137,0
3,AR,5,2022-2023,3011873,1670000,0,10635455,5241836,33983333,4313134,90309858,4237171,1520369,17478308,30275000,0,2511538,1.97E+08,1000000,0,0,7581354,52782116,0,0,31270000,0,7607180,5915000,0,2629000,31119580,0,0,0,1.00E+08,0,0,0,0,0,0,5225878,0,0,0,0,0,3244109,31881000,71455300,1.09E+08,10704911,0,0,0,1.20E+08,33767535,27102617,19538554,36270156,4578417,7.78E+08,38396107,16155550,8103095,80165693,26013629,3.34E+08,37441900,10635362,0,576000,75999,1562056,39846312,7984561,18464667,952323,1093793,10847837,0,2960000,0,0,2.67E+08,26492490,7129315,4595625,8340003,7574475,0,0,0,0,1888956,0,0,0,0,23793324,0,6412652,62079918,64035560,73400423,2548492,0,1.05E+08,31154674,32709112,0,0,1.09E+08
4,AZ,4,2022-2023,7174064,1881140,0,3299710,1797097,39857317,3805382,85079072,22192987,237000,39430617,15500000,0,4567483,421600,5874948,16358000,2.98E+08,0,1.11E+08,12898571,0,4.45E+08,0,1.02E+08,0,0,2715000,32132290,0,44438482,0,1.00E+08,0,0,6214275,0,0,19323333,4502270,38164799,3.86E+08,0,0,5000000,3686250,40539000,93685910,1.05E+08,16495267,0,0,0,90000000,45541211,1.14E+08,27611466,51256207,15593346,1.05E+09,51783619,15590568,6470959,1.13E+08,36772268,4.42E+08,58246474,16301520,0,0,7239578,8463252,2.27E+08,20390003,17899394,2295649,27612275,25639443,0,0,0,0,5.41E+08,51935636,4263195,9727126,16579886,17709485,84438960,270005,1.27E+08,6.43E+08,63261259,0,2380496,0,0,26258970,30281277,0,39908204,22805437,1.36E+08,10077591,25000000,1.31E+08,44265672,0,49119366,1.49E+08,84205500
5,CA,6,2022-2023,39346023,6151659,0,1439989,7833400,56444561,8713013,1.49E+08,95873146,1225000,1.90E+08,2.34E+08,0,5.02E+08,4.00E+08,8499536,1.31E+08,2.63E+09,2.70E+08,7.60E+08,1.69E+08,1.20E+09,3.32E+08,57461000,1.00E+09,2.91E+08,28785490,28736000,3.40E+08,0,50000000,1.50E+08,1.00E+08,13415350,0,39425516,47600000,1.10E+09,37546667,17314380,4.62E+08,5.11E+08,0,2.87E+08,1.87E+08,6555359,2.16E+08,5.17E+08,4.01E+08,2.01E+08,0,26900000,0,1.15E+09,2.16E+08,1.02E+09,1.39E+08,2.57E+08,1.33E+08,4.97E+09,2.45E+08,59745282,32991909,5.30E+08,1.84E+08,2.12E+09,2.50E+08,48569259,4.57E+09,64500960,1.40E+08,55474343,2.29E+09,95162264,40709418,13135404,1.29E+09,1.54E+08,45100000,5120000,331635,0,1.12E+10,3.97E+08,36795230,67230299,1.47E+08,1.94E+08,2950301,0,6.35E+08,85000000,2.88E+08,30000000,6777283,3.35E+08,0,2.16E+08,81019928,93986498,2.25E+08,2.05E+08,2.41E+08,2.72E+08,25000000,3.82E+09,2.83E+08,1.31E+08,35946389,55008922,98488000
6,CO,8,2022-2023,5684926,935000,0,2596028,2793413,19017378,2532671,34622207,22188207,269000,1.52E+08,95200000,0,13819346,750000,6527292,46610269,16269200,0,74169533,13877947,0,1.13E+08,0,71011978,0,0,3212000,38053640,0,0,0,1.00E+08,32671554,0,26214275,3000000,0,6120000,13544479,74600000,3673456,0,0,1.60E+08,2000000,43238000,98503500,1.16E+08,10752873,0,0,0,90000000,33375448,93092599,20410322,37888453,14093576,7.69E+08,37950275,38600000,7358453,79885414,27091468,3.26E+08,40425100,12740011,0,700000,29095480,6223939,2.35E+08,13553947,17090153,2818548,53797309,22759749,0,0,0,0,8.30E+08,39827495,2661256,6438066,8341260,16505010,0,2632,1.88E+08,0,12514765,0,1925017,0,92203,25865985,2710971,0,63818648,41392861,1.18E+08,37475000,49682927,4.73E+08,32489170,6699586,66432054,4602598,0
7,CT,9,2022-2023,3570549,500000,0,16534,1125108,0,1832417,0,15941537,0,19746970,25000000,29600000,61746152,1.59E+08,5650000,20394000,0,0,79957535,14652800,0,75409500,0,1.37E+08,5372500,0,4921000,58280960,0,0,0,1.00E+08,0,0,0,14900000,0,0,7060360,0,0,0,0,0,845718,22750000,52801080,82195500,28678841,0,0,0,2.42E+08,30735136,97373767,18954391,35185754,12298279,7.09E+08,34947931,1200000,2788170,77553612,25266769,3.08E+08,29636310,6864256,1.87E+09,0,0,4027306,3.18E+08,10135343,4576849,0,1.95E+08,17353135,0,0,743283,0,8.30E+08,36471458,4142279,7037422,4351032,14230700,0,0,0,0,26437120,0,7223921,0,10000000,34793754,0,17530000,1.42E+08,82609763,1.07E+08,21852800,0,4.45E+08,10825217,0,0,973333,63000000
8,DC,11,2022-2023,701974,5700000,0,0,0,600000,0,0,9115260,0,0,0,0,670749,0,1996589,0,0,0,30671664,0,0,7625000,0,46522434,15720000,0,1513000,19074000,0,0,0,1.00E+08,0,0,0,0,0,0,1523399,0,0,0,0,0,0,15195000,43985000,57000000,4576463,0,0,0,90000000,9965802,22233681,6021448,11177842,4729687,2.30E+08,11331831,1000000,2450000,23600741,7970389,98721581,10809105,2947453,3.69E+08,0,0,1551480,71650364,479293,0,7856267,2.77E+08,3039160,0,0,1500000,7860000,5.80E+08,12205669,2303529,2654770,47460223,6048846,0,0,34038000,0,61590000,0,2000000,0,0,10928583,0,0,1.29E+08,48797936,52500000,2000000,0,2.85E+08,0,0,0,0,6265000
9,DE,10,2022-2023,967679,0,0,173196,767125,0,0,0,0,0,0,0,0,0,0,500000,11000000,0,0,15226944,0,2.50E+08,809000,169000,17995984,0,0,1972000,23355620,0,0,0,1.00E+08,0,0,0,10000000,0,0,1616030,0,0,0,0,0,295000,22750000,52801080,70891500,5102957,0,0,0,90000000,10518485,25667061,6383719,11850338,4748428,2.42E+08,11960270,15025715,2450000,25045459,8460187,1.03E+08,12374623,2991930,4320000,1600000,0,1551480,74567282,2907153,2722695,0,21332198,10183123,0,0,0,0,1.06E+08,9669102,3331185,1311222,4116618,6048846,0,0,0,0,8740728,0,2181234,0,0,13843877,0,0,26060842,14528762,50000000,2340000,0,1.20E+08,420000,7989987,0,0,0
10,FL,12,2022-2023,21216924,864335,2729713,2981243,3304957,40243902,6670834,0,29180056,825000,1.53E+08,1.60E+08,0,1.32E+08,1.01E+08,5376000,20370793,32538400,4719722,3.06E+08,0,0,1.11E+08,63416333,2.09E+08,58449135,0,13562000,1.61E+08,0,34347282,0,1.00E+08,97349189,0,58686553,0,0,6334444,7059007,0,0,0,0,0,892859,87054000,1.99E+08,4.21E+08,88264094,0,0,0,1.05E+08,1.24E+08,29927714,71500693,1.33E+08,55174078,2.87E+09,1.41E+08,32627894,19790290,3.05E+08,94591060,1.20E+09,1.70E+08,33118644,0,16040000,500000,26664386,7.15E+08,70932467,23922275,2887063,1.55E+08,60672792,71700000,0,0,0,2.76E+09,1.54E+08,20331453,26710331,1.18E+08,56135743,0,0,2.07E+08,0,58057957,0,992028,0,13125027,71091374,2812086,43152125,2.90E+08,1.63E+08,1.17E+08,2.16E+08,0,7.91E+08,1.12E+08,53825255,499920,628330,1.12E+09
