,GEOID,NAME,total_pop,ALAND,AWATER,percent_urban,percent_rural,urban,rural,percent_poc,percent_poc_bucket,poverty_rate,poverty_rate_bucket,pop_density,pop_density_bucket,med_hh_income,med_hh_income_bucket,broadband_speed,hh_int_access,transport_costs,annual_vehicle_mi_per_hh,employment_access_index,commute_time,freq_fatal_accidents,pub_transit_commute,green_commute,freq_train_use,freq_bus_use,pub_transit_stops,avg_hh_person_trips,access_to_car,highway_miles,ghg_per_acre,ozone,pm25,diesel_pm,contaminated_sites,superfund_site,water_system_violations,energy_cost_hh,grid_disturbances,power_generation,housing_cost_burden,overcrowded_housing,vacancy_rate,homelessness,incomplete_plumbing,incomplete_kitchen,housing_units,permits,transport_trade_jobs,capacity_housing,capacity_environment,capacity_transport,airports_primary,bridges,docks,rr_freight_route_miles,rr_pax_route_miles,rr_incident_number,rr_incident_killed,hud_pbs8,hud_hcv,hud_202,hud_ph,stations_elevated,stations_subway,intercity_km,rail_transit_km,bridges_poor_condition,age_under_18,age_over_64,cnw_500
1,54,West Virginia,1807426,62266298634,489204185,0.446479264,0.977534309,0,1,0.084509684,1,0.170969206,10,75.18092876,5,48037,1,146.1139793,0.792318536,28,19726,5764,0.197474471,0.000137765,0.008331109,0.039109552,0,0.03413046,0.000108995,7.25425,0.915446689,1.14667E-07,4.88,57.14703258,7.484976129,0.12238296,0.000310386,6.086E-06,0.030062764,0.031330453,3.87291E-06,0.031402669,0.476548955,0.001116809,0.178354213,0.000741939,0.068445583,0.058265584,0.494413049,0.001478113,0.021795636,0.002210879,0.005517792,0.005854735,3.31964E-06,0.004021741,2.4344E-05,0.001288628,0.000198072,0.000136658,7.19255E-06,0.006192231,0.007582606,0.000194199,0.003505538,2.76636E-06,0,0.000270638,1.89269E-05,0.198651809,0.202064704,0.199314384,0.012845275
2,12,Florida,21216924,1.38962E+11,45972570361,0.915341946,0.851790676,1,1,0.465934742,9,0.133355228,7,395.4554368,9,57703,3,258.4997462,0.856650217,23,17411,22674,0.225174699,0.000145968,0.016169874,0.038702871,0.008759598,0.047201074,0.001522652,7.46772572,0.9388269,1.19622E-08,17.98,59.35887053,7.516173456,0.290701884,0.000100062,2.49801E-06,0.002636208,0.01965304,6.12718E-07,0.011766927,0.563459751,0.002052624,0.170566381,0.001295522,0.008886647,0.013468901,0.45069323,0.004981906,0.031963304,0.001461333,0.004370096,0.002805355,8.95512E-07,0.000585947,7.63541E-06,0.000146105,2.83783E-05,5.47205E-05,1.05576E-05,0.002020415,0.00487064,0.000347317,0.001155116,2.40374E-06,0,5.44615E-05,1.18313E-05,0.026383526,0.198635957,0.204926595,0.004597691
3,17,Illinois,12716164,1.43779E+11,6216493488,0.869274774,0.933279752,1,1,0.391525699,7,0.119875148,5,229.0669788,8,68428,7,185.756158,0.856392252,19,16469,49668,0.269737755,8.54031E-05,0.088074645,0.131825597,0.161818945,0.117716213,0.002655675,8.022928267,0.892584265,1.9282E-08,23.13,63.69404702,9.465114628,0.37049848,0.000140687,3.77472E-06,0.006834578,0.019609866,5.5048E-07,0.013648141,0.469531032,0.001834334,0.091064385,0.000820295,0.019606449,0.027500356,0.422563361,0.001428521,0.044813593,0.001251557,0.003549891,0.00376914,8.65041E-07,0.002108262,1.32115E-05,0.000608383,0.00012407,0.000126453,2.58726E-05,0.005119311,0.007473008,0.000429139,0.003299187,1.10882E-05,1.88736E-06,0.000269285,7.73967E-05,0.08478496,0.224551445,0.156527236,0.006159481
4,27,Minnesota,5600166,2.06233E+11,18949394733,0.718787052,0.979320855,1,1,0.210293052,3,0.093333779,1,70.33066334,4,73382,8,568.6376523,0.874581746,19,18540,26891,0.160388706,6.58909E-05,0.032273021,0.070260301,0.020497547,0.072412791,0.00202994,8.165823171,0.934117848,2.98381E-08,11.83,58.17885636,6.717352262,0.205776493,0.000161245,4.46415E-06,0.002101912,0.021014116,1.42853E-06,0.010098272,0.453576794,0.001302996,0.101724552,0.001417815,0.015585652,0.017327697,0.438920918,0.003525908,0.036589808,0.002389929,0.004681826,0.00488057,1.6071E-06,0.002385286,7.14265E-06,0.000784637,7.80513E-05,0.00010214,1.26782E-05,0.006355704,0.005650011,0.000423916,0.002702598,5.35698E-07,3.57132E-07,0.000114451,1.74025E-05,0.050007486,0.232008123,0.158491016,0.003984972
5,24,Maryland,6037624,25151992308,6979074857,0.856170992,0.811755381,1,1,0.498396389,9,0.090172668,1,621.7210004,9,87063,10,299.3533832,0.88753734,16,16261,34409,0.333006416,9.04329E-05,0.074380594,0.107418544,0.07976432,0.087144326,0.002042525,8.040452885,0.912095213,6.02475E-08,18.42,65.98067775,7.837788326,0.289023882,5.11791E-05,3.64382E-06,0.003375645,0.018151058,4.96884E-07,0.005972051,0.492453739,0.001406394,0.093152684,0.001053395,0.01455451,0.018816498,0.407387078,0.002740692,0.029871685,0.001272686,0.003548084,0.002813358,4.96884E-07,0.000885779,6.95638E-06,0.000154796,3.79454E-05,3.71007E-05,1.98754E-06,0.004689759,0.008201405,0.000524544,0.001864806,1.49065E-06,2.31879E-06,0.00020483,6.6265E-05,0.051234106,0.222068483,0.154179028,0.004192501
6,44,Rhode Island,1057798,2677763359,1323686988,0.910524987,0.632738798,1,1,0.285583826,5,0.115812937,5,1023.131408,10,70305,8,342.5067602,0.867685,19,16407,27507,0.182523111,6.23938E-05,0.022409557,0.060446595,0.055875951,0.092787218,0.003441111,8.14210084,0.909934174,6.39971E-07,19.11,62.58070259,5.96795321,0.20791922,0.000395161,1.13443E-05,0.004136482,0.029737653,1.13443E-05,0.007578006,0.472918432,0.000909025,0.116258851,0.001043678,0.010349699,0.023143521,0.443647086,0.001001452,0.026042779,0.002124224,0.003366427,0.003748353,2.83608E-06,0.000737381,1.13443E-05,7.82758E-05,4.71735E-05,1.89072E-06,0,0.015344139,0.008337131,0.001194935,0.008541328,0,0,0.000227479,3.74873E-05,0.230769231,0.194218556,0.172514979,0.002426175
7,16,Idaho,1754367,2.1405E+11,2391569647,0.692421753,0.994210658,1,1,0.186299674,2,0.119372805,5,21.22782853,2,58915,4,140.021259,0.864495402,26,21126,10735,0.121387656,0.000107161,0.006370776,0.04305467,0,0.027969975,0.000719918,8.755824916,0.961438413,3.54832E-08,11.26,53.4616987,6.632132867,0.151093845,0.000281583,5.13006E-06,0.03186663,0.021742409,2.85003E-06,0.011021069,0.450061921,0.001667953,0.119488318,0.001319564,0.012469301,0.019675595,0.420328814,0.006379217,0.029915063,0.002005282,0.005177366,0.004028804,3.42004E-06,0.002554768,0,0.000903175,8.52729E-05,0.000139652,1.42502E-05,0.002164883,0.003630939,0.000212612,0.000347704,0,0,9.20047E-05,0,0.070281124,0.2534236,0.158315791,0.004585001
8,33,New Hampshire,1355244,23190115212,1025971768,0.58323273,0.929569139,1,1,0.104198949,1,0.074207972,1,151.3612858,6,77923,9,264.0634559,0.891924929,19,20397,10847,0.223914597,7.23117E-05,0.00789028,0.038972873,0.006544479,0.0130883,0.000514299,8.258762887,0.950305686,1.55663E-07,8,52.87858846,5.183857573,0.097351751,0.000245712,1.54954E-05,0.033201037,0.028389043,9.59237E-06,0.012329883,0.462741796,0.000680744,0.15579907,0.00123594,0.015290999,0.015533713,0.471214778,0.002582815,0.032068764,0.001790821,0.003473175,0.003896715,2.21362E-06,0.001840259,5.16512E-06,0.000274416,8.03545E-05,5.16512E-06,7.37875E-07,0.00427008,0.007412687,0.000860362,0.002586988,0,0,7.01254E-05,0,0.089815557,0.190173135,0.180884033,0.001728525
9,37,North Carolina,10386227,1.25933E+11,13456093195,0.667158554,0.906977831,1,1,0.37385424,7,0.139819059,8,213.6084214,7,56642,3,251.1428288,0.837029888,25,19449,13391,0.173541172,0.000136238,0.009654544,0.031184392,0.005466998,0.036792995,0.000513372,7.716348837,0.944461394,2.21845E-08,7.08,61.91772373,7.840842235,0.172171257,0.000126032,3.65869E-06,0.015749576,0.022332568,1.15538E-06,0.011934363,0.467805006,0.001853114,0.139857678,0.000893491,0.021578487,0.025866619,0.451282453,0.005589968,0.03229758,0.00142506,0.003926739,0.002640612,8.66532E-07,0.001769362,1.73306E-06,0.000333451,6.55483E-05,6.39308E-05,6.54713E-06,0.002663335,0.005281129,0.000300013,0.002358027,5.77688E-07,0,0.000166646,3.5004E-06,0.101812048,0.22160078,0.162557009,0.007465586
10,50,Vermont,624340,23872569964,1030754609,0.351202111,0.984637657,0,1,0.076463145,1,0.107844477,3,67.73496018,4,63477,6,201.8452772,0.83705279,23,20170,5842,0.161317077,9.28981E-05,0.012036037,0.078776171,0,0.058978087,0.004066694,7.780327869,0.932889991,3.698E-07,4.81,51.77399238,5.672506143,0.077089486,0.000717558,1.92203E-05,0.053264669,0.035873103,1.92203E-05,0.003789602,0.495067457,0.001833732,0.220518721,0.001777877,0.020254201,0.020787986,0.540112759,0.00267195,0.025165775,0.002562706,0.004930006,0.005884614,3.20338E-06,0.004449499,0,0.000895986,0.000483711,6.7271E-05,9.61015E-06,0.005043726,0.011838101,0.000395618,0.000674312,0,0,0.000641546,0,0.023758099,0.185206778,0.193599641,0.006142078
